Linux 6.8.0-84-generic (Alienware-Area-51-R5) 	10/10/2025 	_x86_64_	(24 CPU)

03:18:13 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:18:14 PM  all    4.89    0.00    0.71    0.00    0.00    0.00    0.00    0.00    0.00   94.40
03:18:14 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:18:14 PM    1    6.06    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   89.90
03:18:14 PM    2    2.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.03
03:18:14 PM    3   46.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   49.00
03:18:14 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:18:14 PM    5    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:18:14 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:18:14 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:18:14 PM    8    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:18:14 PM    9    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
03:18:14 PM   10    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:18:14 PM   11    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:18:14 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:18:14 PM   13    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:18:14 PM   14    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
03:18:14 PM   15   48.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   51.00
03:18:14 PM   16    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:18:14 PM   17    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:18:14 PM   18    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:18:14 PM   19    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:18:14 PM   20    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:18:14 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:18:14 PM   22    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:18:14 PM   23    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    4.89    0.00    0.71    0.00    0.00    0.00    0.00    0.00    0.00   94.40
Average:       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       1    6.06    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   89.90
Average:       2    2.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.03
Average:       3   46.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   49.00
Average:       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       5    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
Average:       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       8    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
Average:       9    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
Average:      10    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
Average:      11    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
Average:      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      13    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
Average:      14    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
Average:      15   48.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   51.00
Average:      16    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
Average:      17    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
Average:      18    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
Average:      19    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
Average:      20    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
Average:      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      22    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
Average:      23    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
